1	Aditya	Agarwal	9876542310	Male	2000-01-01	2022-03-18	\N	1	100000	Active
3	RUPESH	Kumar	9999999999	Male	2001-12-12	2022-03-22	1	1	4000000	Active
4	Ilaire	Hune	5225124312	Male	1991-06-20	2022-03-23	\N	8	94491	Active
7	Nickie	Wane	7311437104	Other	1987-07-08	2022-03-23	\N	9	167348	Active
9	Damon	Credland	1045503474	Female	1991-06-12	2022-03-23	\N	5	86335	Active
2	Hrishi	Raaj	9876543210	Male	1989-01-01	2022-03-18	1	1	100000	Active
5	Odelia	Connachan	2167451091	Other	1990-08-20	2022-03-23	4	3	136872	Active
6	Bobby	Crease	5647029059	Other	1954-03-18	2022-03-23	7	7	96820	Active
8	Cyrille	Jowle	4715288978	Female	1980-09-18	2022-03-23	9	4	102337	Active
11	Monique	Crees	4473357368	Other	2001-03-23	2022-03-23	4	5	108030	Active
12	Dari	Guerrin	9278289966	Male	1947-02-23	2022-03-23	7	3	91554	Active
16	b	d	1212121213	Male	1999-01-01	2022-05-01	\N	1	22000	Active
15	a	b	1212121212	Male	2000-01-01	2022-05-01	\N	1	12000	Inactive
\.


