696519e4-97bb-4fec-a5e4-7eaf851ab1a1	2022-03-23 11:20:09.200846	1234567899	1234567898	764.11
31d65441-e80e-779d-653e-1a90d756903a	2022-03-23 11:21:22.589047	\N	1234567891	4
fdea66c8-76c4-d0b9-73f1-c19e62fd9dac	2022-03-23 11:25:06.273208	1234567893	\N	1535.62
dc6b78a6-174d-3202-2258-b998ae5b4fb2	2022-04-22 15:40:33.463454	1234567895	\N	1
cf8db76e-87cb-c93a-0877-e5396695091c	2022-04-22 15:47:12.324229	\N	1234567895	1
dedfa383-d56b-4d01-3281-7392d7286057	2022-04-22 15:56:13.684971	1234567895	\N	1
b3a35127-324d-8bcd-b83f-13bd5146fa19	2022-04-22 15:59:50.138708	\N	1234567895	1
139c8fed-97bc-a69d-391b-60e50d691cee	2022-04-22 16:12:17.176299	1234567895	1234567893	1
c5f72b04-9c5a-6d95-a11e-f1f405388a49	2022-03-11 15:53:08.272883	\N	1234567891	1000
0d7da012-3083-1194-33b1-6e362089e3ee	2022-03-11 15:53:42.178067	1234567892	1234567891	1000
f99771b5-ca34-76b3-d3f5-9d1edd9ac6ad	2022-03-13 11:48:46.428365	1234567891	1234567892	1
cde80d6c-dafb-2d64-c814-105dfad6fd96	2022-03-13 13:58:54.957114	1234567891	1234567892	1
29696552-f653-5b19-7f73-b0c038ed915b	2022-03-13 14:05:28.896024	1234567891	1234567892	1
97bee339-54ec-be76-9642-d6250e679c13	2022-03-13 14:09:46.526241	1234567891	1234567892	1
edfff520-b707-06b1-a570-77dc58224f52	2022-04-27 15:48:34.574702	\N	1234567893	400000
2cb90024-e675-8e44-e247-333be0a51b73	2022-04-27 15:49:30.369055	1234567893	1234567896	500000
39a12b04-f123-6683-4c2f-4c5b4062a1c2	2022-04-27 15:50:27.479197	1234567896	1234567893	500000
5d2e4003-0d7e-be6f-52df-03f28aa8777b	2022-04-27 15:53:33.387013	1234567893	1234567896	510001
\.


