12348	Male	rupesh	kumar	2000-12-12	1234567890	1
12349	Male	Hrishi	Raaj	1989-01-01	9876543210	1
12350	Male	Aditya	Agarwal	2000-01-01	9876542310	1
12351	Male	Ingeborg	Orum	1961-03-14	3855339088	7
12352	Male	Talia	Toppin	1982-06-27	4985501690	2
12353	Female	Roddie	Godar	1970-04-01	7009904903	2
12354	Other	Miran	Lickorish	1956-07-02	3099925729	3
12355	Other	Justino	Kelemen	1989-05-18	2128903249	10
12356	Female	Brittaney	Champagne	1983-03-05	1397322038	9
12357	Male	Dudley	Ilyasov	1962-01-16	7545276943	10
12358	Female	Shurwood	Burgise	1979-02-06	3231623125	9
12359	Male	Megan	Giraudot	1951-01-21	6966270068	4
12360	Male	Frants	Yorke	1974-11-17	4287801663	3
12366	Male	Carl	Fox	1999-12-12	9252201008	1
12367	Male	fr1	ls1	1999-10-10	1111111119	1
12369	Female	name2	lname2	1999-10-11	9876543211	18
12370	Female	name3	lname3	1999-10-11	9876543210	19
12345	Male	Kundan	Pal	2000-12-12	9999999999	1
12371	Male	Amy	Powell	2000-01-01	1111111111	1
\.


